id,category,image_context,prompt
16989,Fashion/Style,photo of a rugged hiking backpack,Identify the style and era of this backpack. Where could I buy something similar today?
16990,Culinary/Food,photo of a bowl of chicken curry with rice,I have these ingredients shown in the curry image. What spice should I add to elevate the flavor?
16991,Culinary/Food,photo of a fresh fruit salad with melon and berries,Write a mouth-watering instagram caption for this photo of fruit salad.
16992,Creative Writing,photo of the Golden Gate Bridge in fog,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Golden Gate Bridge.
16993,Fashion/Style,photo of aviator sunglasses on a table,Is this sunglasses appropriate for a business casual office environment?
16994,Home/DIY,photo of a white shaker-style kitchen cabinet,Look at this kitchen cabinet. What tools would I likely need to fix or restore it?
16995,OCR/Extraction,photo of an electricity bill with usage graphs,Find the date and total amount in this utility bill. Return only these two values.
16996,Nature/Biology,underwater photo of colorful coral,Describe the habitat where you would typically find this coral reef.
16997,Home/DIY,photo of a disorganized bookshelf filled with old books,How would you clean this messy bookshelf without damaging the material?
16998,Education,image of a color wheel for art theory,Create a quiz question based on the information in this color wheel.
16999,Coding,screenshot of a dark-mode analytics widget showing user retention stats,Act as a frontend developer. Convert this dashboard widget screenshot into production-ready {tech_stack}.
17000,Travel/Landmarks,photo of Big Ben and Parliament in London,Identify this landmark: Big Ben. Provide a 3-day itinerary for a trip here.
17001,Fashion/Style,photo of black leggings/yoga pants,Identify the style and era of this yoga pants. Where could I buy something similar today?
17002,Fashion/Style,photo of bright neon running shoes,Act as a stylist. Look at this running shoes. What accessories would you pair with this for a formal event?
17003,Home/DIY,photo of a white shaker-style kitchen cabinet,Look at this kitchen cabinet. What tools would I likely need to fix or restore it?
17004,Culinary/Food,photo of a grilled salmon fillet with asparagus,Identify the dish in this image of grilled salmon. Estimate the calories and suggest a {dietary_restriction} alternative.
17005,Data Analysis,image of a spider/radar chart comparing skill sets,Analyze this radar chart. Summarize the key trend for a business executive.
17006,OCR/Extraction,photo of a sticky note with a to-do list in cursive ink,Extract the text from this handwritten note and return it as {output_format}.
17007,Nature/Biology,macro photo of a colorful beetle on a leaf,Identify this strange insect. Is it poisonous or dangerous? Provide a scientific classification.
17008,Creative Writing,photo of a small green frog on a lily pad,Describe this frog using only metaphors and similes.
17009,Travel/Landmarks,wide-angle photo of the Grand Canyon at sunset,Translate the signage visible in this photo of Grand Canyon into German and explain the cultural context.
17010,Travel/Landmarks,photo of white houses with blue domes in Santorini,What is the best time of year to visit Santorini to take a photo like this?
17011,Culinary/Food,photo of three street tacos with salsa and lime,Write a mouth-watering instagram caption for this photo of tacos.
17012,Education,chart showing nutritional food groups,Act as a tutor. Explain the concept shown in this food pyramid to a college student.
17013,Fashion/Style,photo of a black leather biker jacket,Identify the style and era of this leather jacket. Where could I buy something similar today?
17014,Fashion/Style,photo of a brown leather vintage handbag,Identify the style and era of this vintage handbag. Where could I buy something similar today?
17015,Data Analysis,image of a pie chart showing market share,Analyze this pie chart. Summarize the key trend for a business executive.
17016,Nature/Biology,close-up macro photo of a red mushroom in the forest,Describe the habitat where you would typically find this wild mushroom.
17017,Creative Writing,macro photo of a colorful beetle on a leaf,Describe this strange insect using only metaphors and similes.
17018,Coding,screenshot of a modal window with toggle switches for privacy settings,Act as a frontend developer. Convert this settings modal screenshot into production-ready {tech_stack}.
17019,Data Analysis,image of a vertical bar chart comparing quarterly revenue,Convert the data shown in this bar chart into a CSV format.
17020,Fashion/Style,photo of a rugged hiking backpack,Act as a stylist. Look at this backpack. What accessories would you pair with this for a formal event?
17021,Education,image of an old map of Europe from the 18th century,Act as a tutor. Explain the concept shown in this historical map to a senior citizen.
17022,Creative Writing,photo of cumulonimbus clouds,Describe this cloud formation using only metaphors and similes.
17023,Education,chart showing nutritional food groups,Act as a tutor. Explain the concept shown in this food pyramid to a chef.
17024,Coding,screenshot of a modal window with toggle switches for privacy settings,Act as a frontend developer. Convert this settings modal screenshot into production-ready {tech_stack}.
17025,Home/DIY,photo of a wooden mid-century modern chair,How would you clean this mid-century chair without damaging the material?
17026,Nature/Biology,photo of a conch shell on the beach,Describe the habitat where you would typically find this seashell.
17027,Nature/Biology,night sky photo showing the Orion constellation,Describe the habitat where you would typically find this constellation.
17028,OCR/Extraction,photo of a concert ticket with QR code,Find the date and total amount in this event ticket. Return only these two values.
17029,OCR/Extraction,photo of an electricity bill with usage graphs,Find the date and total amount in this utility bill. Return only these two values.
17030,Home/DIY,photo of a rusty garden trowel,Identify the style of this garden tool. Suggest a color palette for a room that features this piece.
17031,Culinary/Food,photo of a flaky croissant on a bakery shelf,Identify the dish in this image of croissant. Estimate the calories and suggest a {dietary_restriction} alternative.
